cluster;mot
Cluster_0;max
Cluster_0;redbull max
Cluster_0;redbull
Cluster_0;max staged
Cluster_0;staged
Cluster_0;horner max staged
Cluster_0;horner
Cluster_0;redbull horner
Cluster_0;redbull horner max
Cluster_0;horner max
Cluster_1;redbull gives
Cluster_1;redbull gives fxed
Cluster_1;gives fxed wings
Cluster_1;gives fxed
Cluster_1;mfs
Cluster_1;gives
Cluster_1;wings mfs
Cluster_1;wings
Cluster_1;fxed wings mfs
Cluster_1;fxed wings
Cluster_2;hamilton
Cluster_2;mercedes hamilton
Cluster_2;mercedes
Cluster_2;zero personality hamilton
Cluster_2;mbs deserve
Cluster_2;president
Cluster_2;personality hamilton
Cluster_2;personality
Cluster_2;mbs deserve president
Cluster_2;mbs
